full_name,H,albedo,a,e,i,long_node,arg_peri,anomaly,peri,apo,period
  8709 Kadlu (1994 JF1),16.86,,2.529448343,0.489123794,3.516436747,119.2465056,153.6097541,247.4814617,1.292234972,3.766661715,4.022971206
  9058 (1992 JB),17.97,,1.55647025,0.359723596,16.0798887,218.3457742,306.9711838,33.93847345,0.996571174,2.116369326,1.941866807
  9162 Kwiila (1987 OA),18,0.088,1.496432435,0.595371802,9.010603953,180.0283593,235.8002753,149.1362204,0.60549876,2.38736611,1.830601744
  9172 Abhramu (1989 OB),16.56,,2.708669275,0.552920565,7.844758643,287.6642821,74.01849631,52.49302651,1.21099033,4.20634822,4.458021661
  9202 (1993 PB),15.88,0.332,1.423670211,0.607826896,40.82467965,315.9215866,212.3263997,246.5575711,0.558325166,2.289015256,1.698721952
  9400 (1994 TW1),14.84,0.155,2.588155412,0.580184853,35.99503237,3.355526626,62.14576621,126.0506258,1.086546845,4.089763979,4.163837085
  9856 (1991 EE),16.96,0.3,2.242750802,0.625969974,9.829738163,168.102737,116.232799,321.0433767,0.83885614,3.646645463,3.358765883
  9950 ESA (1990 VB),16.16,,2.437468836,0.533023866,14.59552232,253.5088469,103.4829839,19.54410056,1.138239773,3.736697899,3.805544546
 10115 (1992 SK),17.08,0.318,1.24840208,0.324678504,15.32039835,8.90388589,233.6635196,313.8606401,0.843072761,1.653731399,1.394889893
 10145 (1994 CK1),16.99,,1.900670815,0.632851552,4.548626521,328.4061513,27.38811881,255.6521128,0.697828339,3.10351329,2.620405856
 10150 (1994 PN),15.41,,2.37549673,0.543868036,45.95808347,113.0106776,233.9836962,103.6196714,1.083539989,3.66745347,3.661338291
 10165 (1995 BL2),17.35,0.372,1.234714008,0.503829461,23.89794345,312.4384529,348.452543,306.7107186,0.612628715,1.856799302,1.372011544
 10302 (1989 ML),19.4,,1.272148746,0.13645408,4.378183789,104.3384813,183.3533681,100.5404628,1.098558859,1.445738633,1.43487822
 10563 Izhdubar (1993 WD),16.73,,1.006876675,0.266299057,63.46139548,56.56236285,132.1975268,12.21212669,0.738746366,1.275006984,1.010351807
 10636 (1998 QK56),17.64,0.645,1.885221943,0.512643278,13.57120862,172.9479339,286.2965014,260.5678851,0.918775587,2.851668299,2.588522422
 10860 (1995 LE),17.23,,2.577791075,0.574644844,4.148581314,257.2890563,75.38832761,89.8878385,1.096476724,4.059105427,4.138850848
 11054 (1991 FA),16.92,,1.979341652,0.446180745,3.078303746,339.0793172,92.3301645,7.840087959,1.096197518,2.862485785,2.784770103
 11066 Sigurd (1992 CC1),15.14,0.19,1.391541134,0.375339887,36.88164309,349.2309799,21.99617929,72.29025287,0.869240243,1.913842026,1.641543044
 11284 Belenus (1990 BA),18.11,,1.740359445,0.337236461,1.992128997,311.7475208,171.1243602,247.3618912,1.153446785,2.327272106,2.295972247
 11311 Peleus (1993 XN2),16.07,,2.116778028,0.535845827,25.488013,59.34822142,313.3694423,1.382829351,0.982511355,3.2510447,3.079790539
 11398 (1998 YP11),16.33,0.318,1.720926309,0.38877262,15.02582048,144.7853286,74.67257691,301.3872346,1.051877278,2.389975339,2.257623999
 11405 (1999 CV3),15.22,0.112,1.459541091,0.393803728,22.86405159,141.2799155,96.36346007,200.9398923,0.884768369,2.034313813,1.763326327
 11500 Tomaiyowit (1989 UR),18.32,0.142,1.079780719,0.355921479,10.30849957,234.416641,289.4698655,346.1087918,0.695463569,1.464097869,1.122048307
 11885 Summanus (1990 SS),18.43,0.033,1.703807057,0.474426778,19.42780059,359.7900159,116.1974702,245.5307677,0.895475364,2.51213875,2.22402068
 12538 (1998 OH),15.92,0.232,1.541676698,0.405961527,24.52455847,220.7331293,321.715249,57.13037848,0.915815272,2.167538125,1.914247836
 12711 Tukmit (1991 BB),15.85,,1.186343227,0.272181521,38.48810005,294.9791438,322.8940952,92.85069455,0.863442523,1.509243931,1.292182142
 12923 Zephyr (1999 GK4),15.71,0.199,1.96165913,0.492172654,5.305364357,168.1878725,147.0928802,339.9203836,0.99618415,2.92713411,2.747536801
 13553 Masaakikoyama (1992 JE),16.46,,2.188700731,0.464185984,5.876109786,193.4667584,110.0007394,326.6490189,1.172736529,3.204664932,3.238081509
 13651 (1997 BR),17.81,0.511,1.335519659,0.305612498,17.24843681,116.6638676,133.8114469,213.8134212,0.927368159,1.743671158,1.543418245
 14402 (1991 DB),18.64,0.14,1.714660304,0.402014678,11.41914382,158.222468,51.36506836,157.2319455,1.025341694,2.403978915,2.245304997
